id,title,author,text,label,verdict
26,NASA Launches New Mars Rover,CNN,New polling data offers insight into the upcoming 2024 presidential election.,0,real
27,UN Holds Emergency Meeting on Climate Change,The Guardian,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
28,Hillary Clinton Adopts Alien Baby,Mike Hunt,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
29,Clinton Foundation Exposed in Leaked Documents,Admin,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
30,Clinton Foundation Exposed in Leaked Documents,Anonymous,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
31,NASA Confirms Earth Will Experience 15 Days of Darkness,Mike Hunt,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
32,Hillary Clinton Adopts Alien Baby,Admin,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
33,Shocking Truth About Vaccines Finally Revealed,Anonymous,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
34,Hillary Clinton Adopts Alien Baby,Anonymous,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
35,NASA Confirms Earth Will Experience 15 Days of Darkness,Jane Smith,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
36,Clinton Foundation Exposed in Leaked Documents,Mike Hunt,A suppressed report suggests vaccines are linked to mind control.,1,fake
37,BREAKING: Obama Caught Wiretapping Trump Tower,John Doe,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
38,Hillary Clinton Adopts Alien Baby,Anonymous,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
39,Elections 2024: What the Polls Say,CNN,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
40,Shocking Truth About Vaccines Finally Revealed,John Doe,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
41,Breakthrough in Cancer Research Announced,CNN,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
42,BREAKING: Obama Caught Wiretapping Trump Tower,Anonymous,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
43,Elections 2024: What the Polls Say,The Guardian,New polling data offers insight into the upcoming 2024 presidential election.,0,real
44,Clinton Foundation Exposed in Leaked Documents,John Doe,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
45,Elections 2024: What the Polls Say,Reuters,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
46,Global Markets Rally Ahead of Fed Meeting,CNN,New polling data offers insight into the upcoming 2024 presidential election.,0,real
47,Shocking Truth About Vaccines Finally Revealed,Mike Hunt,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
48,BREAKING: Obama Caught Wiretapping Trump Tower,Mike Hunt,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
49,Breakthrough in Cancer Research Announced,CNN,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
50,UN Holds Emergency Meeting on Climate Change,BBC News,New polling data offers insight into the upcoming 2024 presidential election.,0,real
51,Breakthrough in Cancer Research Announced,CNN,New polling data offers insight into the upcoming 2024 presidential election.,0,real
52,Clinton Foundation Exposed in Leaked Documents,John Doe,A suppressed report suggests vaccines are linked to mind control.,1,fake
53,BREAKING: Obama Caught Wiretapping Trump Tower,Jane Smith,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
54,UN Holds Emergency Meeting on Climate Change,AP News,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
55,Hillary Clinton Adopts Alien Baby,Jane Smith,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
56,Breakthrough in Cancer Research Announced,CNN,The United Nations convened an emergency meeting to discuss recent climate change reports.,0,real
57,BREAKING: Obama Caught Wiretapping Trump Tower,John Doe,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
58,NASA Confirms Earth Will Experience 15 Days of Darkness,Jane Smith,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
59,Breakthrough in Cancer Research Announced,CNN,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
60,Elections 2024: What the Polls Say,BBC News,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
61,Clinton Foundation Exposed in Leaked Documents,Mike Hunt,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
62,BREAKING: Obama Caught Wiretapping Trump Tower,Jane Smith,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
63,Clinton Foundation Exposed in Leaked Documents,Admin,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
64,Global Markets Rally Ahead of Fed Meeting,AP News,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
65,Breakthrough in Cancer Research Announced,BBC News,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
66,Shocking Truth About Vaccines Finally Revealed,John Doe,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
67,Clinton Foundation Exposed in Leaked Documents,John Doe,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
68,NASA Launches New Mars Rover,BBC News,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
69,BREAKING: Obama Caught Wiretapping Trump Tower,Admin,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
70,Clinton Foundation Exposed in Leaked Documents,Anonymous,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
71,NASA Confirms Earth Will Experience 15 Days of Darkness,Jane Smith,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
72,Hillary Clinton Adopts Alien Baby,Anonymous,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
73,Breakthrough in Cancer Research Announced,BBC News,The United Nations convened an emergency meeting to discuss recent climate change reports.,0,real
74,Shocking Truth About Vaccines Finally Revealed,Admin,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
75,UN Holds Emergency Meeting on Climate Change,AP News,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
76,NASA Launches New Mars Rover,The Guardian,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
77,Hillary Clinton Adopts Alien Baby,Jane Smith,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
78,Shocking Truth About Vaccines Finally Revealed,Anonymous,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
79,Shocking Truth About Vaccines Finally Revealed,Admin,A suppressed report suggests vaccines are linked to mind control.,1,fake
80,BREAKING: Obama Caught Wiretapping Trump Tower,John Doe,A suppressed report suggests vaccines are linked to mind control.,1,fake
81,Global Markets Rally Ahead of Fed Meeting,The Guardian,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
82,Hillary Clinton Adopts Alien Baby,Mike Hunt,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
83,NASA Launches New Mars Rover,CNN,New polling data offers insight into the upcoming 2024 presidential election.,0,real
84,Hillary Clinton Adopts Alien Baby,Anonymous,A suppressed report suggests vaccines are linked to mind control.,1,fake
85,NASA Confirms Earth Will Experience 15 Days of Darkness,Jane Smith,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
86,BREAKING: Obama Caught Wiretapping Trump Tower,John Doe,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
87,Clinton Foundation Exposed in Leaked Documents,Admin,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
88,Global Markets Rally Ahead of Fed Meeting,CNN,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
89,NASA Confirms Earth Will Experience 15 Days of Darkness,John Doe,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
90,BREAKING: Obama Caught Wiretapping Trump Tower,Admin,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
91,Breakthrough in Cancer Research Announced,The Guardian,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
92,Elections 2024: What the Polls Say,AP News,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
93,UN Holds Emergency Meeting on Climate Change,CNN,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
94,Hillary Clinton Adopts Alien Baby,Anonymous,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
95,Shocking Truth About Vaccines Finally Revealed,Admin,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
96,Global Markets Rally Ahead of Fed Meeting,Reuters,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
97,Elections 2024: What the Polls Say,Reuters,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
98,Elections 2024: What the Polls Say,CNN,New polling data offers insight into the upcoming 2024 presidential election.,0,real
99,NASA Confirms Earth Will Experience 15 Days of Darkness,Jane Smith,A suppressed report suggests vaccines are linked to mind control.,1,fake
100,Breakthrough in Cancer Research Announced,The Guardian,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
101,Shocking Truth About Vaccines Finally Revealed,Anonymous,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
102,Clinton Foundation Exposed in Leaked Documents,John Doe,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
103,Shocking Truth About Vaccines Finally Revealed,Jane Smith,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
104,Clinton Foundation Exposed in Leaked Documents,Admin,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
105,NASA Confirms Earth Will Experience 15 Days of Darkness,John Doe,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
106,Hillary Clinton Adopts Alien Baby,Mike Hunt,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
107,Shocking Truth About Vaccines Finally Revealed,Mike Hunt,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
108,BREAKING: Obama Caught Wiretapping Trump Tower,Jane Smith,A suppressed report suggests vaccines are linked to mind control.,1,fake
109,UN Holds Emergency Meeting on Climate Change,The Guardian,New polling data offers insight into the upcoming 2024 presidential election.,0,real
110,Hillary Clinton Adopts Alien Baby,Anonymous,A suppressed report suggests vaccines are linked to mind control.,1,fake
111,Shocking Truth About Vaccines Finally Revealed,Admin,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
112,BREAKING: Obama Caught Wiretapping Trump Tower,John Doe,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
113,Elections 2024: What the Polls Say,Reuters,New polling data offers insight into the upcoming 2024 presidential election.,0,real
114,Shocking Truth About Vaccines Finally Revealed,Jane Smith,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
115,Elections 2024: What the Polls Say,CNN,The United Nations convened an emergency meeting to discuss recent climate change reports.,0,real
116,UN Holds Emergency Meeting on Climate Change,CNN,New polling data offers insight into the upcoming 2024 presidential election.,0,real
117,UN Holds Emergency Meeting on Climate Change,Reuters,The United Nations convened an emergency meeting to discuss recent climate change reports.,0,real
118,Elections 2024: What the Polls Say,BBC News,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
119,Clinton Foundation Exposed in Leaked Documents,John Doe,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
120,NASA Confirms Earth Will Experience 15 Days of Darkness,John Doe,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
121,UN Holds Emergency Meeting on Climate Change,AP News,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
122,Shocking Truth About Vaccines Finally Revealed,Admin,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
123,Global Markets Rally Ahead of Fed Meeting,The Guardian,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
124,UN Holds Emergency Meeting on Climate Change,BBC News,New polling data offers insight into the upcoming 2024 presidential election.,0,real
125,Breakthrough in Cancer Research Announced,CNN,The United Nations convened an emergency meeting to discuss recent climate change reports.,0,real
126,Hillary Clinton Adopts Alien Baby,Admin,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
127,Clinton Foundation Exposed in Leaked Documents,John Doe,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
128,Hillary Clinton Adopts Alien Baby,Admin,A suppressed report suggests vaccines are linked to mind control.,1,fake
129,Breakthrough in Cancer Research Announced,AP News,The United Nations convened an emergency meeting to discuss recent climate change reports.,0,real
130,Shocking Truth About Vaccines Finally Revealed,Mike Hunt,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
131,Clinton Foundation Exposed in Leaked Documents,John Doe,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
132,Hillary Clinton Adopts Alien Baby,Mike Hunt,A suppressed report suggests vaccines are linked to mind control.,1,fake
133,Shocking Truth About Vaccines Finally Revealed,Jane Smith,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
134,Shocking Truth About Vaccines Finally Revealed,Mike Hunt,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
135,Global Markets Rally Ahead of Fed Meeting,AP News,New polling data offers insight into the upcoming 2024 presidential election.,0,real
136,Shocking Truth About Vaccines Finally Revealed,Anonymous,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
137,NASA Confirms Earth Will Experience 15 Days of Darkness,Mike Hunt,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
138,Elections 2024: What the Polls Say,AP News,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
139,Global Markets Rally Ahead of Fed Meeting,CNN,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
140,Elections 2024: What the Polls Say,The Guardian,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
141,Clinton Foundation Exposed in Leaked Documents,Jane Smith,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
142,Clinton Foundation Exposed in Leaked Documents,Mike Hunt,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
143,UN Holds Emergency Meeting on Climate Change,The Guardian,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
144,NASA Confirms Earth Will Experience 15 Days of Darkness,Admin,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
145,NASA Launches New Mars Rover,AP News,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
146,NASA Launches New Mars Rover,Reuters,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
147,Hillary Clinton Adopts Alien Baby,Admin,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
148,Shocking Truth About Vaccines Finally Revealed,Jane Smith,A suppressed report suggests vaccines are linked to mind control.,1,fake
149,NASA Launches New Mars Rover,CNN,New polling data offers insight into the upcoming 2024 presidential election.,0,real
150,Clinton Foundation Exposed in Leaked Documents,Anonymous,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
151,Breakthrough in Cancer Research Announced,CNN,New polling data offers insight into the upcoming 2024 presidential election.,0,real
152,Shocking Truth About Vaccines Finally Revealed,Admin,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
153,UN Holds Emergency Meeting on Climate Change,Reuters,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
154,BREAKING: Obama Caught Wiretapping Trump Tower,Jane Smith,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
155,Shocking Truth About Vaccines Finally Revealed,Jane Smith,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
156,Shocking Truth About Vaccines Finally Revealed,John Doe,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
157,BREAKING: Obama Caught Wiretapping Trump Tower,Mike Hunt,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
158,Breakthrough in Cancer Research Announced,CNN,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
159,Breakthrough in Cancer Research Announced,The Guardian,New polling data offers insight into the upcoming 2024 presidential election.,0,real
160,Breakthrough in Cancer Research Announced,AP News,New polling data offers insight into the upcoming 2024 presidential election.,0,real
161,NASA Confirms Earth Will Experience 15 Days of Darkness,Mike Hunt,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
162,Shocking Truth About Vaccines Finally Revealed,Jane Smith,A suppressed report suggests vaccines are linked to mind control.,1,fake
163,BREAKING: Obama Caught Wiretapping Trump Tower,Admin,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
164,Breakthrough in Cancer Research Announced,BBC News,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
165,BREAKING: Obama Caught Wiretapping Trump Tower,Jane Smith,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
166,Clinton Foundation Exposed in Leaked Documents,John Doe,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
167,NASA Launches New Mars Rover,BBC News,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
168,Global Markets Rally Ahead of Fed Meeting,The Guardian,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
169,BREAKING: Obama Caught Wiretapping Trump Tower,Mike Hunt,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
170,BREAKING: Obama Caught Wiretapping Trump Tower,Admin,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
171,Global Markets Rally Ahead of Fed Meeting,Reuters,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
172,NASA Confirms Earth Will Experience 15 Days of Darkness,Admin,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
173,Global Markets Rally Ahead of Fed Meeting,Reuters,New polling data offers insight into the upcoming 2024 presidential election.,0,real
174,NASA Launches New Mars Rover,The Guardian,New polling data offers insight into the upcoming 2024 presidential election.,0,real
175,UN Holds Emergency Meeting on Climate Change,BBC News,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
176,Shocking Truth About Vaccines Finally Revealed,Anonymous,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
177,Elections 2024: What the Polls Say,BBC News,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
178,Global Markets Rally Ahead of Fed Meeting,Reuters,New polling data offers insight into the upcoming 2024 presidential election.,0,real
179,Global Markets Rally Ahead of Fed Meeting,Reuters,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
180,Shocking Truth About Vaccines Finally Revealed,Admin,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
181,Elections 2024: What the Polls Say,CNN,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
182,Elections 2024: What the Polls Say,BBC News,New polling data offers insight into the upcoming 2024 presidential election.,0,real
183,NASA Launches New Mars Rover,CNN,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
184,NASA Launches New Mars Rover,The Guardian,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
185,Elections 2024: What the Polls Say,The Guardian,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
186,BREAKING: Obama Caught Wiretapping Trump Tower,Anonymous,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
187,NASA Launches New Mars Rover,BBC News,New polling data offers insight into the upcoming 2024 presidential election.,0,real
188,Hillary Clinton Adopts Alien Baby,Anonymous,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
189,NASA Confirms Earth Will Experience 15 Days of Darkness,John Doe,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
190,NASA Launches New Mars Rover,BBC News,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
191,UN Holds Emergency Meeting on Climate Change,AP News,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
192,Elections 2024: What the Polls Say,Reuters,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
193,Clinton Foundation Exposed in Leaked Documents,Anonymous,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
194,NASA Confirms Earth Will Experience 15 Days of Darkness,Anonymous,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
195,Breakthrough in Cancer Research Announced,Reuters,New polling data offers insight into the upcoming 2024 presidential election.,0,real
196,NASA Confirms Earth Will Experience 15 Days of Darkness,Anonymous,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
197,NASA Confirms Earth Will Experience 15 Days of Darkness,John Doe,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
198,Shocking Truth About Vaccines Finally Revealed,Mike Hunt,A suppressed report suggests vaccines are linked to mind control.,1,fake
199,Clinton Foundation Exposed in Leaked Documents,Admin,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
200,Breakthrough in Cancer Research Announced,AP News,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
201,BREAKING: Obama Caught Wiretapping Trump Tower,Jane Smith,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
202,NASA Confirms Earth Will Experience 15 Days of Darkness,Mike Hunt,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
203,Breakthrough in Cancer Research Announced,AP News,New polling data offers insight into the upcoming 2024 presidential election.,0,real
204,Shocking Truth About Vaccines Finally Revealed,Jane Smith,A suppressed report suggests vaccines are linked to mind control.,1,fake
205,Clinton Foundation Exposed in Leaked Documents,Jane Smith,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
206,UN Holds Emergency Meeting on Climate Change,AP News,The United Nations convened an emergency meeting to discuss recent climate change reports.,0,real
207,Hillary Clinton Adopts Alien Baby,Anonymous,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
208,Shocking Truth About Vaccines Finally Revealed,Mike Hunt,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
209,Shocking Truth About Vaccines Finally Revealed,Admin,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
210,Global Markets Rally Ahead of Fed Meeting,The Guardian,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
211,Clinton Foundation Exposed in Leaked Documents,John Doe,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
212,Breakthrough in Cancer Research Announced,BBC News,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
213,Global Markets Rally Ahead of Fed Meeting,AP News,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
214,UN Holds Emergency Meeting on Climate Change,BBC News,Stock markets around the world rallied today as investors await the Federal Reserve's interest rate decision.,0,real
215,NASA Confirms Earth Will Experience 15 Days of Darkness,Admin,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
216,Shocking Truth About Vaccines Finally Revealed,John Doe,NASA announced that Earth will face 15 days of total darkness in November.,1,fake
217,Global Markets Rally Ahead of Fed Meeting,AP News,NASA's latest Mars rover launched successfully from Cape Canaveral this morning.,0,real
218,UN Holds Emergency Meeting on Climate Change,CNN,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
219,NASA Launches New Mars Rover,BBC News,New polling data offers insight into the upcoming 2024 presidential election.,0,real
220,Clinton Foundation Exposed in Leaked Documents,Mike Hunt,Leaked documents show the Clinton Foundation was involved in massive corruption.,1,fake
221,Breakthrough in Cancer Research Announced,CNN,The United Nations convened an emergency meeting to discuss recent climate change reports.,0,real
222,Elections 2024: What the Polls Say,The Guardian,The United Nations convened an emergency meeting to discuss recent climate change reports.,0,real
223,Global Markets Rally Ahead of Fed Meeting,Reuters,Scientists announced a major breakthrough in cancer treatment after successful clinical trials.,0,real
224,Clinton Foundation Exposed in Leaked Documents,John Doe,Former Secretary of State Hillary Clinton has reportedly adopted an alien baby from Area 51.,1,fake
225,NASA Launches New Mars Rover,The Guardian,New polling data offers insight into the upcoming 2024 presidential election.,0,real
226,Hillary Clinton Adopts Alien Baby,Jane Smith,A suppressed report suggests vaccines are linked to mind control.,1,fake
227,Breakthrough in Cancer Research Announced,AP News,New polling data offers insight into the upcoming 2024 presidential election.,0,real
228,NASA Confirms Earth Will Experience 15 Days of Darkness,Admin,"In a shocking revelation, sources claim that the Obama administration wiretapped Trump Tower before the election.",1,fake
229,Global Markets Rally Ahead of Fed Meeting,CNN,The United Nations convened an emergency meeting to discuss recent climate change reports.,0,real
